id;Season;European.badger;European.hare;European.hedgehog;European.polecat;European.rabbit;Raccoon;Red.fox;Red.squirrel;Roe.deer;Stoat;Stone.marten;Wild.boar;Richness
LabelID_01;OC21;0;0;0;0;0;0;1;1;1;0;1;0;4
LabelID_02;OC21;0;0;0;0;0;0;1;1;0;0;1;0;7
LabelID_08;OC21;0;0;0;0;0;0;0;0;0;0;1;0;5
LabelID_09;OC21;0;0;1;0;1;0;0;1;0;0;1;0;8
LabelID_11;OC21;0;0;0;0;0;0;1;0;1;0;1;1;8
LabelID_12;OC21;0;0;1;0;0;0;0;1;0;0;1;0;7
LabelID_13;OC21;0;1;0;0;0;0;1;1;0;0;0;0;7
LabelID_14;OC21;0;0;1;0;0;0;0;1;0;1;1;0;8
LabelID_17;OC21;0;0;0;0;0;0;1;1;0;0;0;0;6
LabelID_18;OC21;1;0;0;0;1;0;1;1;0;0;1;0;9
LabelID_19;OC21;1;0;0;0;1;0;1;1;1;0;1;0;10
LabelID_20;OC21;1;0;0;0;0;0;1;1;1;0;1;1;10
LabelID_21;OC21;0;0;0;0;0;0;1;0;1;0;0;1;7
LabelID_23;OC21;0;0;1;0;0;0;1;0;0;0;1;0;7
LabelID_25;OC21;0;0;0;0;0;0;1;1;1;0;1;0;8
LabelID_32;OC21;0;0;1;0;1;0;1;1;0;0;0;0;8
LabelID_36;OC21;0;0;1;0;0;0;0;1;0;0;1;0;7
LabelID_27;OC21;0;0;1;0;0;0;1;0;0;0;1;0;7
LabelID_24;OC21;0;0;0;0;1;0;1;0;0;0;1;0;7
LabelID_28;OC21;0;0;1;0;0;0;0;0;0;0;0;0;5
LabelID_26;OC21;0;0;1;0;0;0;1;1;0;0;1;0;8
LabelID_34;OC21;0;0;0;0;0;0;0;0;0;0;0;1;5
LabelID_33;OC21;0;0;1;0;0;0;0;0;0;0;1;0;6
LabelID_29;OC21;1;0;0;0;0;0;0;0;0;0;1;0;6
LabelID_02;JA22;0;0;0;0;0;0;1;1;0;0;0;0;2
LabelID_08;JA22;0;0;0;0;0;0;0;0;0;0;1;0;3
LabelID_09;JA22;0;1;0;0;0;0;0;0;0;0;0;0;3
LabelID_11;JA22;0;0;0;0;0;0;1;0;0;0;0;0;3
LabelID_12;JA22;0;0;0;0;0;0;1;1;0;0;0;0;4
LabelID_13;JA22;0;1;0;0;0;0;1;1;0;0;0;0;5
LabelID_14;JA22;0;0;0;0;1;0;0;1;0;0;1;0;5
LabelID_17;JA22;0;0;0;0;0;0;0;1;0;0;1;0;4
LabelID_18;JA22;1;1;0;0;1;0;1;1;1;0;0;0;8
LabelID_19;JA22;0;1;0;0;0;0;1;1;1;0;1;0;7
LabelID_20;JA22;1;0;0;0;0;0;1;1;1;0;1;0;7
LabelID_21;JA22;0;0;0;0;0;0;1;1;0;0;0;0;4
LabelID_23;JA22;0;0;0;0;0;0;1;0;0;0;0;0;3
LabelID_24;JA22;0;0;0;0;0;0;1;0;0;0;1;0;4
LabelID_25;JA22;0;0;0;1;0;0;1;0;1;0;1;0;6
LabelID_26;JA22;0;0;0;0;0;0;1;1;0;0;1;0;5
LabelID_27;JA22;0;0;0;0;0;0;1;0;0;0;1;0;4
LabelID_29;JA22;0;0;0;0;0;0;0;1;0;0;1;0;4
LabelID_32;JA22;0;1;0;0;0;0;1;1;0;0;1;0;6
LabelID_33;JA22;0;0;0;0;0;0;0;0;0;0;1;0;3
LabelID_34;JA22;0;1;0;0;0;0;0;0;0;0;1;0;4
LabelID_36;JA22;0;0;0;0;0;0;0;1;0;0;1;0;4
LabelID_38;JA22;0;0;0;0;0;0;0;1;0;0;1;0;4
LabelID_01;AP22;0;1;0;0;0;0;0;0;0;0;0;0;1
LabelID_02;AP22;0;0;0;0;0;0;0;1;0;0;0;0;2
LabelID_08;AP22;0;0;0;0;0;0;0;0;0;0;1;0;2
LabelID_09;AP22;0;1;0;0;1;0;1;0;0;0;0;0;4
LabelID_11;AP22;0;1;0;0;0;0;1;0;1;0;0;0;4
LabelID_12;AP22;0;0;1;0;1;0;0;1;0;0;0;0;4
LabelID_13;AP22;0;1;1;0;0;0;1;1;0;0;1;0;6
LabelID_14;AP22;0;0;1;0;1;0;0;1;0;0;1;0;5
LabelID_17;AP22;0;0;0;0;0;0;1;1;0;0;1;0;4
LabelID_18;AP22;1;1;0;0;0;0;1;1;1;0;0;0;6
LabelID_19;AP22;1;1;0;0;0;0;1;1;1;0;1;0;7
LabelID_20;AP22;1;0;0;0;0;0;0;0;1;0;1;1;5
LabelID_21;AP22;0;0;0;0;0;0;1;0;1;0;0;0;3
LabelID_23;AP22;1;0;0;0;0;0;1;1;0;0;0;0;4
LabelID_24;AP22;0;0;1;0;0;0;1;0;0;0;1;0;4
LabelID_25;AP22;0;0;0;0;0;0;0;0;1;0;1;0;3
LabelID_32;AP22;0;0;1;0;0;0;1;1;0;0;1;0;5
LabelID_33;AP22;0;0;1;0;0;0;0;0;0;0;1;0;3
LabelID_36;AP22;0;0;0;0;0;0;0;1;0;0;1;0;3
LabelID_37;AP22;1;0;0;0;0;0;1;0;0;0;0;0;3
LabelID_38;AP22;0;0;1;0;0;0;0;0;0;0;1;0;3
LabelID_01;JU22;0;0;0;0;0;0;0;1;1;0;1;0;3
LabelID_02;JU22;0;0;0;0;0;0;0;0;1;0;0;0;4
LabelID_08;JU22;0;0;1;0;0;0;1;0;0;0;1;0;6
LabelID_09;JU22;0;1;0;0;0;0;1;0;0;0;1;1;7
LabelID_11;JU22;1;1;0;0;0;0;1;0;0;1;1;0;8
LabelID_12;JU22;0;0;0;0;0;0;0;1;0;0;0;1;5
LabelID_13;JU22;1;1;1;0;1;0;1;1;0;0;1;0;10
LabelID_14;JU22;0;1;0;0;0;0;0;0;0;0;0;0;4
LabelID_17;JU22;0;0;1;0;0;0;1;0;0;0;1;0;6
LabelID_18;JU22;0;1;0;0;0;0;1;0;0;1;1;0;7
LabelID_19;JU22;1;1;0;0;0;0;1;0;1;0;1;1;9
LabelID_20;JU22;1;0;0;0;0;0;1;1;1;0;1;0;8
LabelID_21;JU22;0;0;0;0;0;0;1;0;0;0;0;0;4
LabelID_23;JU22;1;0;0;0;0;0;1;0;0;0;1;0;6
LabelID_24;JU22;0;0;0;0;0;0;1;0;0;0;0;0;4
LabelID_25;JU22;0;0;0;0;0;0;0;1;1;0;1;0;6
LabelID_26;JU22;0;0;1;0;0;0;1;0;0;0;1;0;6
LabelID_29;JU22;1;0;0;0;0;0;1;0;0;0;1;0;6
LabelID_32;JU22;0;0;1;0;0;0;1;1;0;0;1;0;7
LabelID_33;JU22;0;0;1;0;0;0;0;0;0;0;1;0;5
LabelID_34;JU22;1;0;1;0;0;0;1;1;0;0;1;0;8
LabelID_36;JU22;0;0;1;0;0;0;0;1;0;0;1;0;6
LabelID_37;JU22;1;0;0;0;0;0;1;1;0;0;0;0;6
LabelID_38;JU22;0;0;1;0;0;0;0;1;0;0;1;0;6
LabelID_41;JU22;0;0;1;0;0;0;0;1;0;0;1;0;6
LabelID_botanicalgardenadditionalLocation;JU22;1;0;0;0;0;0;0;1;0;0;1;0;6
LabelID_01;OC22;0;1;0;0;0;0;1;0;1;0;0;0;3
LabelID_02;OC22;0;0;0;0;0;0;1;0;0;0;1;0;3
LabelID_08;OC22;0;0;0;0;0;0;0;0;0;0;1;0;1
LabelID_09;OC22;0;1;0;0;0;0;0;0;0;0;0;0;2
LabelID_11;OC22;1;0;0;0;0;1;1;0;1;0;1;0;5
LabelID_12;OC22;0;0;1;0;0;0;0;1;0;0;1;0;4
LabelID_13;OC22;0;1;0;0;0;0;1;1;0;0;0;0;4
LabelID_14;OC22;0;1;0;0;1;0;0;0;0;0;1;0;3
LabelID_17;OC22;0;1;0;0;0;0;1;1;0;0;1;0;4
LabelID_18;OC22;1;1;0;0;0;0;0;1;0;0;0;0;3
LabelID_19;OC22;1;1;0;0;0;0;1;0;0;0;1;0;4
LabelID_20;OC22;1;0;0;0;0;0;0;1;1;0;0;0;3
LabelID_21;OC22;0;0;0;0;0;0;0;0;0;0;0;1;1
LabelID_23;OC22;0;0;0;0;0;0;1;0;0;0;0;0;1
LabelID_24;OC22;0;0;0;0;0;0;1;0;0;0;0;0;1
LabelID_25;OC22;0;0;0;0;0;0;0;1;0;0;1;0;2
LabelID_29;OC22;0;0;0;0;0;0;1;1;0;0;1;0;3
LabelID_32;OC22;0;0;0;0;0;0;1;1;0;0;1;0;4
LabelID_33;OC22;0;0;1;0;0;0;0;0;0;0;1;0;2
LabelID_34;OC22;0;1;1;0;0;0;1;1;0;0;0;0;4
LabelID_36;OC22;0;0;0;0;0;0;0;0;0;0;1;0;1
LabelID_37;OC22;0;0;0;0;0;0;0;1;0;0;1;0;2
LabelID_38;OC22;0;0;0;0;0;0;0;0;0;0;1;0;1
LabelID_41;OC22;0;0;0;0;0;0;0;0;0;0;1;0;1
LabelID_01;JA23;0;0;0;0;0;0;0;0;0;0;0;0;0
LabelID_02;JA23;0;0;0;0;0;0;0;0;0;0;0;0;0
LabelID_08;JA23;0;0;0;0;0;0;1;0;0;0;1;0;2
LabelID_09;JA23;0;1;0;0;0;0;0;0;0;0;0;0;1
LabelID_11;JA23;1;1;0;0;0;0;1;0;1;0;1;0;5
LabelID_12;JA23;0;0;0;0;0;0;0;1;0;0;0;0;1
LabelID_13;JA23;0;1;0;0;0;0;1;1;0;0;1;0;4
LabelID_14;JA23;0;1;0;0;1;0;0;1;0;0;1;0;4
LabelID_17;JA23;0;0;0;0;0;0;1;0;0;0;1;0;2
LabelID_18;JA23;1;1;0;0;0;0;1;1;0;0;0;0;4
LabelID_19;JA23;1;1;0;0;0;0;1;0;1;0;1;0;5
LabelID_20;JA23;1;0;0;0;0;0;1;0;1;0;1;0;4
LabelID_21;JA23;0;0;0;0;0;0;1;0;0;0;0;0;1
LabelID_23;JA23;0;0;0;0;0;0;1;0;0;0;0;0;1
LabelID_24;JA23;0;0;0;0;0;0;1;0;0;0;1;0;2
LabelID_25;JA23;0;0;0;0;0;0;1;0;1;0;1;0;3
LabelID_29;JA23;0;0;0;0;0;0;0;1;0;0;1;0;2
LabelID_32;JA23;0;0;0;0;0;0;1;1;0;0;1;0;3
LabelID_33;JA23;0;0;0;0;0;0;0;0;0;0;1;0;1
LabelID_34;JA23;0;1;0;0;0;0;0;0;0;0;1;0;2
LabelID_36;JA23;0;0;0;0;0;0;0;0;0;0;0;0;0
LabelID_37;JA23;0;0;0;0;0;0;1;0;0;0;1;0;2
LabelID_38;JA23;0;0;0;0;0;0;0;0;0;0;1;0;1
LabelID_41;JA23;0;0;0;0;0;0;1;1;0;0;1;0;3